f,Er,h,w,l
3000000000.0,3.0,0.001,35.35533905932738,27.87664953927666
3000000000.0,3.0,0.001103448275862069,35.35533905932738,27.77414688728462
3000000000.0,3.0,0.001206896551724138,35.35533905932738,27.671644331371894
3000000000.0,3.0,0.0013103448275862068,35.35533905932738,27.569141871550816
3000000000.0,3.0,0.0014137931034482758,35.35533905932738,27.466639507833726
3000000000.0,3.0,0.0015172413793103448,35.35533905932738,27.364137240232953
3000000000.0,3.0,0.0016206896551724137,35.35533905932738,27.261635068760828
3000000000.0,3.0,0.0017241379310344827,35.35533905932738,27.159132993429694
3000000000.0,3.0,0.0018275862068965517,35.35533905932738,27.056631014251856
3000000000.0,3.0,0.0019310344827586205,35.35533905932738,26.954129131239664
3000000000.0,3.0,0.0020344827586206895,35.35533905932738,26.85162734440543
3000000000.0,3.0,0.002137931034482759,35.35533905932738,26.749125653761496
3000000000.0,3.0,0.0022413793103448275,35.35533905932738,26.64662405932016
3000000000.0,3.0,0.0023448275862068967,35.35533905932738,26.54412256109377
3000000000.0,3.0,0.0024482758620689654,35.35533905932738,26.44162115909463
3000000000.0,3.0,0.0025517241379310347,35.35533905932738,26.339119853335067
3000000000.0,3.0,0.0026551724137931034,35.35533905932738,26.236618643827406
3000000000.0,3.0,0.0027586206896551726,35.35533905932738,26.134117530583943
3000000000.0,3.0,0.002862068965517241,35.35533905932738,26.031616513617017
3000000000.0,3.0,0.0029655172413793106,35.35533905932738,25.929115592938924
3000000000.0,3.0,0.0030689655172413794,35.35533905932738,25.82661476856199
3000000000.0,3.0,0.0031724137931034486,35.35533905932738,25.724114040498517
3000000000.0,3.0,0.0032758620689655174,35.35533905932738,25.621613408760822
3000000000.0,3.0,0.0033793103448275866,35.35533905932738,25.519112873361212
3000000000.0,3.0,0.0034827586206896553,35.35533905932738,25.41661243431199
3000000000.0,3.0,0.003586206896551724,35.35533905932738,25.31411209162547
3000000000.0,3.0,0.0036896551724137933,35.35533905932738,25.211611845313946
3000000000.0,3.0,0.003793103448275862,35.35533905932738,25.109111695389732
3000000000.0,3.0,0.0038965517241379313,35.35533905932738,25.00661164186512
3000000000.0,3.0,0.004,35.35533905932738,24.904111684752426
3000000000.0,3.103448275862069,0.001,34.90683879926659,27.39755334254527
3000000000.0,3.103448275862069,0.001103448275862069,34.90683879926659,27.295682436997186
3000000000.0,3.103448275862069,0.001206896551724138,34.90683879926659,27.1938116319781
3000000000.0,3.103448275862069,0.0013103448275862068,34.90683879926659,27.091940927500286
3000000000.0,3.103448275862069,0.0014137931034482758,34.90683879926659,26.990070323576006
3000000000.0,3.103448275862069,0.0015172413793103448,34.90683879926659,26.888199820217537
3000000000.0,3.103448275862069,0.0016206896551724137,34.90683879926659,26.786329417437138
3000000000.0,3.103448275862069,0.0017241379310344827,34.90683879926659,26.684459115247066
3000000000.0,3.103448275862069,0.0018275862068965517,34.90683879926659,26.582588913659603
3000000000.0,3.103448275862069,0.0019310344827586205,34.90683879926659,26.480718812687
3000000000.0,3.103448275862069,0.0020344827586206895,34.90683879926659,26.37884881234152
3000000000.0,3.103448275862069,0.002137931034482759,34.90683879926659,26.276978912635425
3000000000.0,3.103448275862069,0.0022413793103448275,34.90683879926659,26.175109113580977
3000000000.0,3.103448275862069,0.0023448275862068967,34.90683879926659,26.07323941519042
3000000000.0,3.103448275862069,0.0024482758620689654,34.90683879926659,25.971369817476017
3000000000.0,3.103448275862069,0.0025517241379310347,34.90683879926659,25.869500320450026
3000000000.0,3.103448275862069,0.0026551724137931034,34.90683879926659,25.767630924124692
3000000000.0,3.103448275862069,0.0027586206896551726,34.90683879926659,25.66576162851227
3000000000.0,3.103448275862069,0.002862068965517241,34.90683879926659,25.563892433625014
3000000000.0,3.103448275862069,0.0029655172413793106,34.90683879926659,25.462023339475166
3000000000.0,3.103448275862069,0.0030689655172413794,34.90683879926659,25.36015434607497
3000000000.0,3.103448275862069,0.0031724137931034486,34.90683879926659,25.258285453436688
3000000000.0,3.103448275862069,0.0032758620689655174,34.90683879926659,25.156416661572546
3000000000.0,3.103448275862069,0.0033793103448275866,34.90683879926659,25.054547970494806
3000000000.0,3.103448275862069,0.0034827586206896553,34.90683879926659,24.95267938021569
3000000000.0,3.103448275862069,0.003586206896551724,34.90683879926659,24.850810890747447
3000000000.0,3.103448275862069,0.0036896551724137933,34.90683879926659,24.748942502102317
3000000000.0,3.103448275862069,0.003793103448275862,34.90683879926659,24.647074214292537
3000000000.0,3.103448275862069,0.0038965517241379313,34.90683879926659,24.545206027330345
3000000000.0,3.103448275862069,0.004,34.90683879926659,24.44333794122797
3000000000.0,3.206896551724138,0.001,34.47498499149687,26.941699761806234
3000000000.0,3.206896551724138,0.001103448275862069,34.47498499149687,26.840416276398965
3000000000.0,3.206896551724138,0.001206896551724138,34.47498499149687,26.739132896008012
3000000000.0,3.206896551724138,0.0013103448275862068,34.47498499149687,26.637849620645593
3000000000.0,3.206896551724138,0.0014137931034482758,34.47498499149687,26.536566450323892
3000000000.0,3.206896551724138,0.0015172413793103448,34.47498499149687,26.435283385055115
3000000000.0,3.206896551724138,0.0016206896551724137,34.47498499149687,26.334000424851467
3000000000.0,3.206896551724138,0.0017241379310344827,34.47498499149687,26.232717569725136
3000000000.0,3.206896551724138,0.0018275862068965517,34.47498499149687,26.131434819688327
3000000000.0,3.206896551724138,0.0019310344827586205,34.47498499149687,26.03015217475323
3000000000.0,3.206896551724138,0.0020344827586206895,34.47498499149687,25.928869634932028
3000000000.0,3.206896551724138,0.002137931034482759,34.47498499149687,25.82758720023693
